step,cot_strong,cot_weak,probe_ood
0,0.9356,0.4610,0.7500
1,0.9388,0.5500,0.8750
2,0.9522,0.6061,0.7500
3,0.9508,0.5871,0.7500
4,0.9529,0.5657,0.6000
5,0.9639,0.5720,0.5000
6,0.9755,0.5692,0.4000
7,0.9746,0.5319,
8,0.9716,0.5897,0.3500
9,0.9701,0.6257,0.3000
10,0.9400,0.6615,0.4500
11,0.8975,0.6402,0.4500
12,0.8975,0.6402,
13,0.8906,0.6032,0.4500
14,0.8269,0.5317,0.5000
15,0.8264,0.5055,0.5000
16,0.7512,0.5027,0.5500
17,0.7803,0.4864,0.6500
18,0.7544,0.4634,0.7500
19,0.7724,0.5036,0.7000
20,0.7672,0.5078,0.7000
21,0.8378,0.5236,0.5000
22,0.8467,0.5470,0.4000
23,0.8610,0.5492,0.2500
24,0.8726,0.5546,0.2500
25,0.8639,0.5620,0.1500
26,0.8511,0.5573,0.3500
27,0.8295,0.5741,0.4000
28,0.8339,0.6235,0.5000
29,0.8431,0.5711,0.4500
30,0.8763,0.5610,0.4500
31,0.9032,0.5604,0.3500
32,0.9202,0.5201,0.3500
33,0.8924,0.4542,0.3000
34,0.8593,0.4538,0.4000
35,0.8531,0.4553,0.6000
36,0.8463,0.4516,0.5500
37,0.8269,0.5015,0.6000
38,0.8505,0.5201,
39,0.8897,0.5904,0.5500
